longitude,latitude,nearest_national_road,nearest_regional_road,nearest_provincial_road
-5.319998377,34.10506845,4591.754392,16073.54932,2890.121764
-4.823694139,34.46050649,10406.43661,2693.759976,830.9183955
-2.283110393,34.8988144,3847.072447,5474.419748,1001.65482
-2.273556784,34.90034705,3655.277917,6150.174722,1760.197618
-2.639546323,34.20660255,23694.56873,29616.28398,535.3268545
-4.573472016,34.61023375,3129.492046,4043.584023,2312.538899
-4.333518147,34.01513361,14667.70627,21339.11191,364.6387836
-4.190384463,34.63297966,28162.62515,3185.419945,7.800740112
-6.512615019,33.2988798,57928.77611,2244.861185,1322.530268
-5.888613662,32.69303024,2197.361126,18510.88256,2431.114311
-6.688596198,33.32601734,51812.34536,12631.42305,592.3702253
-8.450532808,31.96515407,22717.94164,5123.987019,5442.962752
-6.186245359,32.62268832,3757.685777,8578.215317,2870.016026
-6.261637328,32.78381655,22236.11383,536.9811051,1573.531874
-8.611080442,31.82171516,26339.10651,8217.449572,3671.27901
-3.315294809,35.10437011,8941.29259,609.7142766,8541.174241
-1.987811734,32.74064659,6953.63272,50009.52965,6958.644993
-1.694679709,32.45392744,1135.190561,26020.10832,1245.858353
-2.242056806,33.34943268,20886.84235,24227.80751,21265.56701
-4.767857938,32.7920708,9631.098345,18201.18464,9744.24454
-5.503271403,35.69990294,15037.0891,17847.10296,723.7091592
-9.641856965,31.09468054,2298.238274,11031.45327,1373.660034
-7.099798251,33.2052425,17776.19667,12440.74962,10.15098402
-7.434668566,33.57444586,4005.904548,9241.024154,350.5219451
-5.484677853,35.87556547,1303.712303,35247.38178,4758.194625
-8.088312526,31.18988389,48073.72587,1824.584963,1492.10955
-7.345603971,33.10548462,1625.832951,7169.765649,2095.478981
-7.522478928,33.02154911,9034.433097,738.6037784,1559.370787
-7.464007704,33.10662116,8241.079253,9622.239215,334.5752659
-8.477115957,31.18037563,35700.75784,15987.12906,2910.054917
-7.111661049,32.29896404,16368.87715,8607.797492,4900.010464
-6.910770853,33.76861161,13847.67067,2176.785524,143.7345601
-6.346698373,32.30501538,3734.208689,11134.3845,3409.402062
-1.345656323,32.33617518,19622.08788,36698.37471,23499.94408
-4.767840387,32.58543201,10728.17417,29644.46288,4468.087733
-6.316497931,30.80927668,13942.8553,17377.47261,12366.92729
-6.689817599,33.15736048,35373.14788,2828.927001,3352.571538
-8.816785107,32.00248872,27433.20261,11938.45363,662.0945074
